Name,Description,Blockchain,Device,Status,NFT,F2P,P2E,P2E_Score
GNME MINING,A Solana-Based mining game on Telegram.,,,,,,,
Sleepagotchi,Sleep well and earn vSleep for TGE!,,,,,,,
Boinkers,Farm the ultimate parody token!,,,,,,,
Crazy Defense Heroes,An action-packed TD game combining F2P with P2E,,,,,,,
Veggies Farm,"Seed, harvest crops, build structures, earn MATIC!",,,,,,,
Infinity Warlords,Idle RPG strategy game on Solana,,,,,,,
The Sandbox,User Generated Blockchain Gaming Metaverse,,,,,,,
MavisRoads,Hybrid NFT Truck GameFi Experience on Ronin!,,,,,,,
1xMM,Become The Next Master of Crypto Markets,,,,,,,
BinaryX,"An RPG Metaverse game of Cyber Series, prepare now",,,,,,,
Valhalla - Floki,A play-to-earn game developed by the FLOKI Team.,,,,,,,
CyberDragon,Amazing play-to-earn MMORPG Metaverse Game on BSC!,,,,,,,
Far From Home,Space-based $WAXP game with player-driven economy.,,,,,,,
Lumiterra,Multiplayer Open-World Survival Crafting Game,,,,,,,
Splinterlands,Collectible Trading Card Game,,,,,,,
Eternals,World Of Eternians,,,,,,,
Dogs Of War,Battle Royale Game,,,,,,,
Ordinem,Web3 TCG Card Game,,,,,,,
MoonKarts,Race to Galactic Glory. Where Speed Meets Cosmos,,,,,,,
RavenQuest,A new and epic MMORPG experience.,,,,,,,
Wild Forest,Mobile PvP real-time strategy RTS game,,,,,,,
Star Atlas,Star Atlas is a MMO metaverse in space.,,,,,,,
Meta Toy DragonZ SAGA,Tiny But Deadly: Clash of Toy Dragons!,,,,,,,
Olderfall,NFT gladiators. Weekly prize pool. Fight!,,,,,,,
Nexus,Third Person MOBA Shooter,,,,,,,
HeartGames,Free to Play!Heart Games NFT & HeartCoins(HTC),,,,,,,
GG,Play-to-Earn Educational Survival Game,,,,,,,
Alien Worlds,Seek your fortune in the Social Metaverse,,,,,,,
World of Dypians,Player driven virtual world.,,,,,,,
Pixels,An MMORPG Pixel NFT Game,,,,,,,
Totemancer,Turn-based strategy PvP board game with rewards,,,,,,,
CyberVerse,"A free-to-play, cross-chain, P2A MMORPG game",,,,,,,
Fracctal TCG,The thrill of monster collecting into 1v1 battles,,,,,,,
MagicCraft,Kill-To-Earn MagicVerse World,,,,,,,
BONK! Arena,"Pay $BONK to spawn, earn $BONK per kill.",,,,,,,
Moonfrost,Farm - Build - Nurture - Explore!,,,,,,,
STEPN,Web3 lifestyle app with social & game elements,,,,,,,
Sleepagotchi LITE,Play-to-airdrop campaign for TGE is here!,,,,,,,
Voxels,A virtual world on the Ethereum blockchain,,,,,,,
Pudgy Penguins,Open World Metaverse Game,,,,,,,
Pikes Arena,"One arena, one pike - fight, survive, dominate!",,,,,,,
Rollercoin,Online Bitcoin Mining Simulator,,,,,,,
Devilfish,Free to play poker with real prizes!,,,,,,,
Axie Infinity,"Battle, collect and build with Axies!",,,,,,,
Survarium,Web3 Roguelike P2E game,,,,,,,
Sorare Fantasy Football,"Global Fantasy Football Game. Buy, Trade, and Play",,,,,,,
PEPEGAMES,MEME-themed Web3 gaming hub built on Solana.,,,,,,,
